PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
02u4D,3Q2k1/p4ppp/1p3b2/8/8/BPq1rN2/P5PP/3R2K1 b - - 2 24,f6d8 d1d8 e3e8 d8e8,671,84,100,74,backRankMate endgame mate mateIn2 short,https://lichess.org/aHgA2hyB/black#48,,
02vy3,8/7p/2Pk4/p1nB2K1/2P5/6PP/5P2/8 w - - 1 46,g5h6 a5a4 h6h7 a4a3,1055,78,100,231,advantage endgame master quietMove short,https://lichess.org/rnjhPhdw#91,,
02w5A,8/p5kp/1p6/3P2P1/3Rp1bP/4Kr2/PP3P1R/3r4 w - - 9 31,e3e4 d1e1,1427,75,100,758,endgame mate mateIn1 oneMove,https://lichess.org/Md90FuUi#61,,
02w6Y,3rr1k1/1b3ppp/pb3q2/1p1p4/1P1Nn3/P1PQ4/B3RPPP/2B1R1K1 b - - 0 22,e4f2 e2e8 d8e8 e1e8,845,76,100,581,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/6YyLOSvg/black#44,,
02wLK,6k1/ppp2pp1/7p/8/2P3P1/1P2pP1P/PB2Rb1K/4r3 w - - 9 31,e2e1 f2e1 h2g1 e3e2,1498,75,100,894,advancedPawn advantage endgame short,https://lichess.org/Zb0mA7lI#61,,
02woL,6k1/Q5p1/3rb2p/8/8/2P2qN1/PP3P1P/5RK1 w - - 0 25,a7b8 g8h7 b8d6 e6h3 d6d5 f3d5,1628,75,100,287,crushing defensiveMove endgame long sacrifice,https://lichess.org/RNcHAb9H#49,,
02wxP,4rbk1/pp1n3p/3p2p1/2pPn3/4NB2/6Pq/PPP1Q2P/R4RK1 w - - 3 23,e2f2 e5g4 f2g2 h3g2 g1g2 e8e4,1531,74,100,682,advantage kingsideAttack long middlegame,https://lichess.org/Ijb8tuCz#45,,
02x4e,r1b1k2r/1pp2ppp/p1n5/4p1q1/3pP1P1/1NPP3P/PP2NKP1/R2Q1B1R w kq - 0 12,e2g3 g5e3,880,77,100,302,mate mateIn1 middlegame oneMove,https://lichess.org/4H9Ix8kQ#23,Kings_Pawn_Game Kings_Pawn_Game_Kings_Head_Opening,
02x7v,8/2Pb4/p7/PP6/5p1p/2k2K1P/6P1/8 b - - 0 50,a6b5 a5a6 d7c8 a6a7,1147,75,100,136,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/fpK3EPQM/black#100,,
02yQt,2r5/2r1kppp/p3pn2/1p2N3/3N4/PPn1P3/3R1PPP/2R2K2 b - - 0 24,c3e4 c1c7 c8c7 d4c6,1960,75,100,101,advantage middlegame short,https://lichess.org/FrKfTFNV/black#48,,
02yqs,2r1r1k1/Q3bpp1/8/8/4pB2/2p3PP/5n2/2R3K1 w - - 0 33,g1f2 e7c5 a7c5 c8c5,826,79,100,439,advantage endgame fork short,https://lichess.org/LCVYYVFS#65,,
02zIn,2rR1Q2/2r2p1k/4bBpp/1p5q/8/8/P4PPP/5RK1 b - - 7 35,c8d8 f8g7,1000,76,100,797,mate mateIn1 middlegame oneMove,https://lichess.org/Wrr2uYu3/black#70,,
02ziV,r4rk1/pp1q3p/2p1bn2/4Rp2/2pP2p1/3B1P2/PPQN2PP/3R2K1 w - - 0 19,d3c4 d7d4 g1h1 d4e5,1142,78,100,399,advantage fork middlegame short,https://lichess.org/op9cUeMe#37,,
02zwj,r4rk1/ppqn1ppp/2pb1p2/8/3Pb1PN/4B2P/PPPQBP2/R4RK1 w - - 5 14,e2d3 d6h2,838,76,100,276,mate mateIn1 middlegame oneMove,https://lichess.org/AvjZwmQu#27,Caro-Kann_Defense Caro-Kann_Defense_Tartakower_Variation,
02zyG,r4rk1/ppp3pp/1bnq1p2/1B2p3/2P5/1QP1nN2/PP3PPP/R4RK1 b - - 0 14,e3f1 c4c5 g8h8 c5d6,1114,75,100,838,advantage discoveredAttack discoveredCheck middlegame short,https://lichess.org/UZDQkZDi/black#28,Italian_Game Italian_Game_Classical_Variation,
0305P,r3kb1r/p4ppp/1q2p3/1bpp1P2/3Pn3/2P2N2/PP4PP/RNBQR2K w kq - 1 13,f5e6 e4f2 h1g1 f2d1,977,79,100,88,advantage fork opening short,https://lichess.org/jHt1k60t#25,Bird_Opening Bird_Opening_Other_variations,
030gR,1R6/5pkp/6p1/8/P2N1n2/2r5/4BP2/5K2 w - - 1 36,a4a5 c3c1 e2d1 c1d1,451,111,100,342,endgame mate mateIn2 short,https://lichess.org/uWxA8TvD#71,,
032DK,r6k/pp1nbBpp/2p5/4q3/6n1/1Q2B3/PP4PP/RN3RK1 w - - 0 17,e3f2 e5h2,716,83,100,248,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/hOU1rOei#33,French_Defense French_Defense_Exchange_Variation,
032NX,7k/1ppq1p2/3p1n1p/p2Pp2b/P1P1P2P/3Qb3/1BB3PK/R7 w - - 0 33,d3e3 f6g4 h2g1 g4e3,904,76,100,514,crushing fork middlegame short,https://lichess.org/zEQE9ZY2#65,,
032d2,r2q1rk1/pp1N1ppp/4pb2/8/5P2/1P1B4/P4PPP/R2Q1RK1 b - - 0 16,d8d7 d3h7 g8h7 d1d7,903,77,100,294,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/wyPNGr70/black#32,Benoni_Defense Benoni_Defense_Benoni_Gambit_Accepted,
033NX,r1b3k1/qp3p2/2pbn2Q/p2p4/P2P3P/1N1B4/1PP2PP1/R5K1 b - - 0 19,d6f8 h6h7,924,78,100,246,mate mateIn1 middlegame oneMove,https://lichess.org/NP4LK2U5/black#38,,
033TG,2kr4/1rp1Q3/5p1p/4bN2/2b1p1P1/4P2P/1q3P2/R1R3K1 b - - 5 36,b2e2 a1a8 b7b8 a8b8 c8b8 e7d8,1636,75,100,725,attraction crushing long middlegame queensideAttack,https://lichess.org/bFJOa1H9/black#72,,
033VR,6k1/p4pp1/2p5/8/PPQ4p/5r1q/3r2P1/3B2RK w - - 0 34,g2h3 f3h3,913,79,100,111,endgame mate mateIn1 oneMove,https://lichess.org/eu8A0mk7#67,,
033W8,2kr1bnr/ppp2ppp/3qb3/8/1n6/P1Q2N2/1PP1PPPP/RNB1KB1R w KQ - 3 9,a3b4 d6d1,489,95,100,575,mate mateIn1 oneMove opening,https://lichess.org/4yuUP4Gj#17,Englund_Gambit Englund_Gambit_Stockholm_Variation,
033xz,rn2k2r/pp2qppp/2p2n2/2b2p2/2BP4/5N2/PPPK1PPP/R1BQ3R w kq - 3 10,d4c5 f6e4 d2e1 e4c3,1495,75,100,1277,advantage discoveredAttack opening short,https://lichess.org/kyyimml9#19,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack,
035m4,4r3/5k2/6R1/5PP1/8/r4K2/4p3/4R3 w - - 0 37,f3g4 e8e4 g4h5 a3h3,1098,77,100,2114,endgame mate mateIn2 rookEndgame short,https://lichess.org/0FjErbWl#73,,
036d3,3r1rk1/1pq1bppp/p4n2/2pP4/P4P2/1PNQ3P/1B1P2P1/R4RK1 b - - 0 17,f6d5 c3d5 d8d5 d3d5,994,76,100,69,advantage middlegame short,https://lichess.org/s2hZIX4K/black#34,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation,
036ob,r3r1k1/5pp1/7p/4N2P/p2P4/1q6/QP3PP1/1K1RR3 w - - 1 29,e1e3 b3d1,882,82,100,121,hangingPiece mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/mCMGR7Pz#57,,
036yi,2r3k1/p4pp1/1pPR2r1/8/1P2p3/P1Q1B1pq/4PP1P/2R3K1 w - - 0 34,d6g6 h3h2 g1f1 h2h1,1310,75,100,365,endgame kingsideAttack mate mateIn2 short,https://lichess.org/4Ept6Trn#67,,
037Ld,8/5ppk/p1r1q2p/3R1b2/2P1n3/N2Q1P2/P5PP/6K1 b - - 0 29,e4f6 d3f5 e6f5 d5f5,2049,147,100,31,equality middlegame short,https://lichess.org/zX5KCp4X/black#58,,
037Me,r5k1/pp3pbp/1qpp4/3p1N2/2P1rQ2/8/PP3RPP/1RB4K w - - 1 21,f4g5 e4e1 f2f1 e1f1,752,79,100,274,backRankMate mate mateIn2 middlegame short,https://lichess.org/Czn4P9Jo#41,,
0386g,3r4/2p5/3bk2p/1p4p1/p2N4/2P1PB1P/PP2K1P1/8 b - - 1 45,e6e5 d4c6 e5f6 c6d8,833,78,100,157,crushing endgame fork short,https://lichess.org/CFloo9VT/black#90,,
038G3,5rk1/pp2rppp/1q6/2b3Q1/8/P1B2BPb/1PR2P1P/R5K1 b - - 6 21,f8e8 g5g7,593,84,100,204,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ERqPgqyf/black#42,,
038VO,2r1r3/p6k/5pRp/3Q1P2/3P1b1P/8/PP3PP1/3Rq1K1 w - - 3 33,d1e1 e8e1,770,79,100,107,endgame mate mateIn1 oneMove,https://lichess.org/KUWvR9Ff#65,,
0394d,8/1b1kpp2/p6p/1p1q4/3B1Q1P/PP3P2/2P5/2KN2r1 b - - 0 30,d5f3 f4f3 b7f3 d4g1,924,79,100,805,advantage endgame master masterVsMaster short,https://lichess.org/ka6grr0n/black#60,,
039HH,r2q1rk1/1bp2pbn/p2p2p1/1p3pB1/4P2Q/1PNP1N2/1PP3PP/R4RK1 b - - 2 16,h7g5 f3g5 d8g5 h4g5,914,77,100,446,advantage master middlegame short,https://lichess.org/9vQeVU3U/black#32,Modern_Defense Modern_Defense_Other_variations,
039qo,r2qr1k1/pb2np1Q/1p3b2/2p3N1/8/P2P2P1/1P2PPBP/R4RK1 b - - 1 18,g8f8 h7f7,1164,76,100,700,mate mateIn1 middlegame oneMove,https://lichess.org/z8ezrLxm/black#36,English_Opening English_Opening_Symmetrical_Variation,
03A3f,2kr3r/ppp2p2/2pbb2p/6p1/3N1q2/2NP3P/PPP1QPP1/R4RK1 w - - 2 15,d4e6 f4h2,792,82,100,439,mate mateIn1 middlegame oneMove,https://lichess.org/CL4Zv5lf#29,Ruy_Lopez Ruy_Lopez_Berlin_Defense,
03A9v,8/4k3/1p4pp/2pP1p2/5P1P/2P1K3/8/8 b - - 0 48,c5c4 e3d4 e7d7 d4c4,1095,76,100,306,advantage endgame pawnEndgame short,https://lichess.org/9VT2NyD5/black#96,,
03B3o,2k4r/1p3qp1/p1p2pp1/B7/8/3Q3P/PbP2PP1/3R2K1 b - - 0 22,b2e5 d3d8 h8d8 d1d8,945,81,100,77,endgame mate mateIn2 queensideAttack sacrifice short,https://lichess.org/4mQrkso8/black#44,,
03BAr,2rq2k1/1p3p1p/p3p1pP/3pP1Q1/1P1P4/5N2/2R2PP1/6K1 b - - 0 39,d8g5 c2c8 g5d8 c8d8,1415,75,100,1470,endgame hangingPiece mate mateIn2 short,https://lichess.org/jiqXwhmA/black#78,,
03BWQ,3r2k1/p3R1p1/2Q2p1p/6q1/8/7P/P4PP1/6K1 w - - 1 33,e7a7 d8d1 g1h2 g5f4 g2g3 f4f2,1210,77,100,340,crushing endgame long,https://lichess.org/ghHwNRCC#65,,
03Bce,8/8/8/1p1k4/1P4p1/p3K1Pp/P6P/8 w - - 5 48,e3f4 d5c4 f4g4 c4b4,822,81,100,69,crushing endgame pawnEndgame short,https://lichess.org/TlpdLOtQ#95,,
03BpL,3k4/3P4/1K2n2p/6p1/B4pP1/5P2/7P/8 w - - 3 57,b6b7 e6c5 b7c6 c5a4,700,80,100,264,crushing endgame fork short,https://lichess.org/rgUWpOYg#113,,
03ByH,r3k1r1/p6p/2p2p1n/3qp3/Q2p4/N2P1P2/PP3P1P/2R2RK1 w q - 2 16,g1h1 d5f3,581,85,100,226,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QenRwalD#31,Caro-Kann_Defense Caro-Kann_Defense_Accelerated_Panov_Attack,
03CF0,r2qr1k1/p1p1bpBp/2pp1n2/5b2/4P2P/6Q1/PPP2PP1/RN2K2R b KQ - 1 12,f5g4 g7f6 e7f6 g3g4,1283,85,100,134,capturingDefender equality kingsideAttack opening pin short,https://lichess.org/dAKdfRR3/black#24,,
03CIU,8/6pp/1Q2p1k1/2p5/P3n3/1P2PK1P/5qP1/4N3 w - - 0 35,f3e4 f2f5,1050,76,100,137,endgame mate mateIn1 oneMove,https://lichess.org/FsnpLoMm#69,,
03CME,8/2q5/k7/1p3KP1/8/1Q6/8/8 b - - 2 73,c7d7 b3e6 d7e6 f5e6 b5b4 g5g6 b4b3 g6g7 b3b2 g7g8q,710,81,100,980,advancedPawn crushing endgame promotion queenEndgame veryLong,https://lichess.org/Lsap0TcS/black#146,,
03CVu,2kr1b1r/1p2npp1/p5b1/2qp2N1/2p2PP1/P1NP4/BPQ5/R1BR2K1 w - - 2 19,c2f2 h8h1 g1h1 c5f2,1382,74,100,463,crushing deflection kingsideAttack middlegame short,https://lichess.org/JDcYjLoa#37,,
03Cow,3r1rk1/ppp2ppp/1b6/8/4P1R1/2Pq3P/P5P1/R1Q1B2K b - - 1 23,h7h5 g4g7 g8g7 c1g5,1728,94,100,76,attraction equality kingsideAttack middlegame sacrifice short,https://lichess.org/zsh50GkI/black#46,,
03ET6,5rk1/3b1p1p/1q1pp1pQ/4n2P/p2RP1P1/5P2/BPP5/2K4R b - - 0 25,b6d4 h5g6 e5d3 c2d3,1842,102,100,63,equality middlegame short,https://lichess.org/IJ5K8xZ3/black#50,,
03Ekd,8/8/4nk2/5p1p/8/5NKP/6P1/8 b - - 11 66,e6g5 f3g5 f6g5 h3h4 g5f6 g3f4,1289,74,100,637,attraction crushing endgame knightEndgame long,https://lichess.org/Wb8VTSYi/black#132,,
03FL5,5r2/p1q2p1k/5Q1p/3p1N2/8/1P5P/P4KP1/4r3 b - - 1 33,c7e5 f6h6 h7g8 h6g5,1656,132,100,43,endgame equality fork short,https://lichess.org/ifsXHnPY/black#66,,
03FPz,2k2b1r/ppp1p1pp/3r4/5p2/3PB3/2P1B2q/PP3P2/RN1Q1RK1 w - - 0 15,d1f3 d6g6 e3g5 g6g5,1206,76,100,213,advantage middlegame short,https://lichess.org/OuuTCxAZ#29,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,
03FZU,R7/5P1p/2q3pk/1p1p1b2/3Q3P/2r2PK1/8/8 b - - 0 38,c6d6 d4f4 d6f4 g3f4,1027,75,100,199,crushing endgame short,https://lichess.org/1BdWC4fx/black#76,,
03Fju,6k1/5p1p/4p3/5p2/7R/6PK/2Q1PP1P/3r1n1q w - - 4 32,c2d1 h1h2,1133,188,100,6,endgame,https://lichess.org/wTyRyhWX#63,,
03Hed,1r3r1k/1b5p/p1qbBnp1/4pNB1/3p4/7Q/PP3PPP/R4RK1 w - - 12 24,h3h6 c6g2,722,86,100,452,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/OlBrghMq#47,,
03Ht0,r1bq1rk1/ppp2ppp/1bnp1n2/3Np1N1/1PP5/P3P3/2QP1PPP/R1B1KB1R b KQ - 2 9,h7h6 d5f6 g7f6 c2h7,1330,76,100,606,kingsideAttack mate mateIn2 opening short,https://lichess.org/JLSQEsZs/black#18,English_Opening English_Opening_Kings_English_Variation,
03IYz,6k1/p4p1p/6p1/3r4/5P2/PPprR3/5PPP/2R3K1 w - - 2 34,g2g3 d3d1 c1d1 d5d1 g1g2 c3c2,1032,76,100,325,advancedPawn crushing endgame long rookEndgame,https://lichess.org/pBmGk2PZ#67,,
03IcO,2k1r3/1pp2pq1/1pp5/5R2/5B1p/2P3Q1/PP2r1PP/R6K w - - 0 23,g3g7 e2e1 a1e1 e8e1,519,93,100,115,backRankMate endgame mate mateIn2 short,https://lichess.org/3cASYnuK#45,,
03LPW,2r5/5k2/p3pp2/1p1p1N1p/3P1P2/4Pq2/PP3r1B/4QKR1 w - - 0 33,e1f2 c8c1,1107,77,100,98,endgame mate mateIn1 oneMove,https://lichess.org/qztMpySu#65,,
03LXp,r5k1/ppb3p1/2pq2r1/3P1pQ1/4p3/1P2P1PP/PB3P2/2R2RK1 w - - 1 27,g5f5 g6g3 f2g3 d6g3 g1h1 g3h2,1079,74,100,134,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/nVTTKN9U#53,,
03LhC,r2r2k1/1pR2ppp/4p3/p2qP3/3p1Qb1/3P1N2/1P3PPP/2R3K1 b - - 5 23,g4f3 f4f7 g8h8 f7g7,874,81,100,52,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/H70bck39/black#46,,
03M4A,kr6/p4p1p/6p1/2R5/q2PQP2/P3P3/1n4P1/K7 b - - 1 43,b8b7 c5c8,983,79,100,68,endgame master mate mateIn1 oneMove,https://lichess.org/c19RlD8w/black#86,,
03MIy,3r1rk1/1p1bqpp1/p3p2p/8/3PQ3/3B4/PP3PPP/3RR1K1 b - - 2 18,d7c6 e4h7,497,89,100,207,mate mateIn1 middlegame oneMove,https://lichess.org/nehFAlkV/black#36,French_Defense French_Defense_Rubinstein_Variation,
03MWw,r1b3k1/pp4r1/2pqp1n1/5n1Q/3P2P1/7R/PPB2P1P/3R2K1 b - - 4 27,g6f4 h5e8 d6f8 h3h8 g8h8 e8f8,1767,75,100,421,advantage attraction clearance deflection exposedKing kingsideAttack long middlegame,https://lichess.org/cCEyBUpR/black#54,,
03NM5,r6k/ppp3pp/8/3P4/2qn2QP/Pn3P1B/KP6/6R1 b - - 1 29,c4d5 g4g7,739,85,100,92,mate mateIn1 middlegame oneMove,https://lichess.org/ElScR53V/black#58,,
03NVE,4r1k1/1p3ppp/p4q2/2Rp4/3Pr3/1Q4P1/PP3PP1/3R2K1 w - - 8 23,b3b7 e4e1 d1e1 e8e1 g1h2 f6h6,961,77,100,111,endgame long mate mateIn3,https://lichess.org/NW4xnfkg#45,,
03NlU,r4r1k/1bB3pp/p4p2/4pP2/1nB1P2N/2R5/P1P3PP/7K b - - 7 22,b7e4 h4g6 h7g6 c3h3,1106,77,100,200,mate mateIn2 middlegame sacrifice short,https://lichess.org/wndEekfW/black#44,,
03P8w,r1b2rk1/pppp1ppp/8/3PP3/1P6/2PQB1q1/P2KB3/7R b - - 1 20,g3e5 d3h7,868,84,100,58,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/4MDc2ZWH/black#40,,
03PC9,1r5k/1b4b1/3pBp2/2q1nQ1p/2PN1B2/6PP/7K/1R6 b - - 0 33,c5d4 f5h5 g7h6 h5h6,840,87,100,84,mate mateIn2 middlegame short,https://lichess.org/W4TpWKq6/black#66,,
03PJo,5bkr/pb4pp/1p1qR3/2p5/2B5/2PP4/P1P2PPP/1RBK4 b - - 0 17,d6e6 c4e6,582,94,100,177,doubleBishopMate hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mLCRksH4/black#34,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,
03Pkr,3q4/4kr2/p4N2/1pPpP3/3P2Q1/P7/5K2/8 b - - 10 44,d8f8 g4d7,806,86,100,87,endgame mate mateIn1 oneMove,https://lichess.org/FyjKsEAg/black#88,,
03Q08,rn6/2R5/3p1kp1/1r2p2n/1P6/5RPN/5P2/6K1 b - - 1 37,f6e6 h3g5 e6d5 f3d3,1022,76,100,203,mate mateIn2 middlegame short,https://lichess.org/vxC2GYtP/black#74,,
03Q6i,r5k1/2p2ppp/1q6/2p1P3/r7/5QB1/P4PPP/R5K1 b - - 0 27,a4a2 f3a8 a2a8 a1a8 b6b8 a8b8,1118,75,100,324,backRankMate endgame long mate mateIn3 xRayAttack,https://lichess.org/sFX34Gxw/black#54,,
03QMx,7k/p4q2/3Q1R1p/2p5/8/8/PPP3rP/1K6 w - - 0 39,f6f7 g2g1 f7f1 g1f1 d6d1 f1d1,571,83,100,137,backRankMate endgame long mate mateIn3 queenRookEndgame,https://lichess.org/M1kw1YKY#77,,
03QPG,3q1rk1/5ppp/3rp3/p1pp3N/4n1Q1/P1P1P3/1P3PPP/R4RK1 b - - 3 18,f7f5 g4g7,681,84,100,111,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/DQcrIoA2/black#36,Indian_Defense Indian_Defense_Accelerated_London_System,
03QVV,2r3k1/p2p1ppp/b3p3/3pP3/8/1P4R1/q4PPP/Q5K1 w - - 0 22,a1a2 c8c1,454,94,100,694,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/1t3P94Gx#43,,
03QYw,2q3k1/5pp1/p3b1Qp/1pbB4/8/P1r2PB1/7P/3RR2K b - - 0 34,f7g6 d5e6 c8e6 e1e6,806,78,100,107,advantage fork middlegame short,https://lichess.org/qW6cySKg/black#68,,
03Qx8,8/6k1/6p1/8/3Pp1P1/R7/4K3/6r1 w - - 1 48,e2e3 g1g3 e3f4 g3a3,1080,76,100,196,crushing endgame master rookEndgame short skewer,https://lichess.org/78dTYpfP#95,,
03R0v,8/2Rn2qk/p4n2/1p1p4/3Qb3/6NP/PP3PP1/6K1 w - - 2 32,g1h2 f6g4 h3g4 g7d4,1361,75,100,516,advantage discoveredAttack middlegame short,https://lichess.org/kINPyrF1#63,,
03R1J,3r3k/pp4p1/5n1p/3b4/4N1P1/3RP2P/PP4B1/4K3 b - - 0 27,f6e4 g2e4 d5e4 d3d8,944,79,100,100,advantage endgame short,https://lichess.org/FvqHg7C3/black#54,,
03R9Y,Qnk5/2p3b1/pp1r3p/3p2p1/NP1P2n1/P3qr1P/1BR3P1/5R1K w - - 0 25,f1f3 e3e1 f3f1 e1f1,741,76,100,329,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Kupg0M8M#49,,
03RGi,3r2k1/p1q2ppp/1p6/1Q1R4/2p3n1/2P1PN2/PP3PP1/6K1 b - - 0 22,d8d5 b5e8,619,85,100,227,endgame mate mateIn1 oneMove,https://lichess.org/57N7mFaj/black#44,,
03S2o,3r1r1k/pppb2pR/2n5/4pp2/8/P2PP3/BP1BQPq1/2KR4 b - - 0 18,h8h7 e2h5,654,98,100,162,mate mateIn1 middlegame oneMove,https://lichess.org/uD2revCj/black#36,English_Opening English_Opening_Anglo-Dutch_Defense,
03SEl,8/1p3K2/1k6/5N2/2p2P2/6P1/8/8 w - - 0 54,f5g7 c4c3 g7e6 c3c2 g3g4 c2c1q,400,99,100,371,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/Uz2V9W4F#107,,
03TZT,2k5/1p5p/1K6/4B3/P1P5/4n1P1/8/8 w - - 3 50,c4c5 e3c4 b6b5 c4e5,1041,85,100,133,crushing endgame fork short,https://lichess.org/naQhByqH#99,,
03U0F,8/rb5p/5R2/2k5/5N1P/6P1/5P2/6K1 w - - 1 49,f6f7 a7a1 g1h2 a1h1,584,83,100,143,endgame mate mateIn2 operaMate short,https://lichess.org/50Y3mmmh#97,,
03U5L,r1b1k2N/pppp2pp/2n5/3Qp3/2B5/8/PPP4P/RNB1q1Kn w q - 2 12,c4f1 e1f2 g1h1 f2f1,1038,82,100,1320,deflection kingsideAttack mate mateIn2 middlegame short,https://lichess.org/tOC3tDyq#23,Italian_Game Italian_Game_Two_Knights_Defense,
03UPq,r2q1rk1/pp3ppp/2pbpB2/8/4Q3/1P1B3P/P1PP1PP1/R3K2R b KQ - 0 13,d8f6 e4h7,580,87,100,92,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/wqtUNwFf/black#26,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack,
03UYH,1Q6/5pk1/p4p2/PN1p4/2q2P2/4P3/6PK/8 b - - 0 38,c4b5 b8b5 a6b5 a5a6,868,77,100,463,crushing endgame queenEndgame short,https://lichess.org/K0ebxbdF/black#76,,
03UZ0,rn3r1k/ppp1bpp1/2b1pn2/3q3N/8/3BB2N/PPP2PPP/R2Q1RK1 w - - 4 14,h5f6 d5g2,663,85,100,172,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/h3Pzj7Uj#27,French_Defense French_Defense_Rubinstein_Variation,
03Ws6,8/2k1N3/8/2Pp1p1p/3P1P1P/8/1pK5/2b5 b - - 1 56,c1e3 e7d5 c7c6 d5e3 b2b1q c2b1,830,77,100,678,crushing endgame fork long,https://lichess.org/6afMgPlg/black#112,,
03X0O,8/R7/3p2p1/2pPb1kp/P7/r6P/6P1/2R4K w - - 0 48,c1c4 a3a1 c4c1 a1c1,842,87,100,62,endgame mate mateIn2 short,https://lichess.org/pUtcmiTb#95,,
03X4N,r6r/1b2kp2/1p2p3/1N1pn2p/6pP/2PBN1P1/1R3PK1/3R4 w - - 5 32,d3e2 d5d4 g2f1 d4e3,1062,77,100,399,advantage discoveredAttack discoveredCheck middlegame short,https://lichess.org/LzF54Al9#63,,
03XMk,2kr2r1/Bppq4/R2p3p/4p3/5b2/2PQ3P/2P2PP1/5RK1 b - - 0 31,b7a6 d3a6,596,81,100,160,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/WkGPZ2h1/black#62,,
03XPS,1k6/ppR1n2p/6p1/1P1p4/3q4/P2r4/2R4P/1KQ5 b - - 1 35,d3d1 c7c8 e7c8 c2c8,841,85,100,313,endgame mate mateIn2 sacrifice short,https://lichess.org/wPxc2inX/black#70,,
03XSU,2r2bk1/1p3ppp/1P4b1/q2Np3/2B5/1Q2P2P/5PP1/2R3K1 b - - 0 30,a5d2 d5e7 f8e7 c4f7 g6f7 c1c8,1188,76,100,814,crushing discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/K8ajaut5/black#60,,
03XZs,2rr2k1/4ppb1/pq1P1np1/2p1B2p/2P5/2NQ3P/RP3PP1/4R1K1 b - - 0 21,e7d6 e5f6 g7f6 c3d5,1345,75,100,355,advantage middlegame short,https://lichess.org/JMXbDclW/black#42,,
03Xd6,r1b1r3/ppp2p2/3pk3/4n1B1/8/2N4Q/Pq4PK/5R2 b - - 9 28,f7f5 h3f5,1167,76,100,2514,mate mateIn1 middlegame oneMove,https://lichess.org/JEaoQ1Kz/black#56,,
03Xyr,4rk2/1pq1rpb1/2p4p/5Q1P/p2P2R1/P7/BP3PP1/3R2K1 w - - 3 32,f5h7 e7e1 d1e1 e8e1,814,81,100,195,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/BHoPeeWL#63,,
03Y92,3r4/1b3pk1/4p1p1/p3Q2p/1p4qP/1P1B3R/P4PP1/6K1 b - - 4 33,f7f6 e5c7 g7h6 c7b7 g4d1 d3f1,2173,77,100,76,endgame,https://lichess.org/KIN1x4Y3/black#66,,
03YGJ,4Rk2/4p2p/1p4pP/2p4q/2Q4b/8/8/3R1K2 b - - 0 37,f8e8 c4g8,759,76,100,335,endgame master mate mateIn1 oneMove,https://lichess.org/DfD8m6js/black#74,,
03YTO,5k2/6p1/7p/pp1q4/5P2/8/1BQ1R1PP/7K w - - 2 41,c2g6 d5d1 e2e1 d1e1,844,80,100,81,backRankMate endgame fork mate mateIn2 short,https://lichess.org/LmXc04jF#81,,
03Yux,1R6/4bkpp/5q2/2p5/2Q4P/2P1P1P1/P4P1K/3r4 b - - 4 37,f7g6 c4g4 g6h6 g4d1,1541,76,100,744,advantage endgame fork short,https://lichess.org/rwZWmqY5/black#74,,
03aHZ,r2r2k1/1pq1ppbp/p1b2np1/8/2B5/1P2P3/PBQ1NPPP/2R2RK1 b - - 5 15,c6e4 c4f7 g8f7 c2c7,1120,78,100,109,crushing discoveredAttack middlegame short,https://lichess.org/wP3Go3UT/black#30,Zukertort_Opening Zukertort_Opening_Sicilian_Invitation,
03bUT,8/k7/3R4/pp1p4/2pP4/P1n1K3/2P5/8 w - - 0 45,e3d2 c3e4 d2c1 e4d6,942,78,100,293,crushing endgame fork short,https://lichess.org/T9Ktvs1C#89,,
03bZX,1r3r2/2p5/1q6/2b1p3/k2pQ2B/8/P4PP1/1KR4R w - - 0 34,b1a1 b6b2,981,76,100,162,mate mateIn1 middlegame oneMove,https://lichess.org/npjEBSBd#67,,
