PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
05imK,3Rq1rk/pb2nppp/1p2pn2/1P2N3/1BP5/4P3/2Q1BPPP/6K1 b - - 5 21,e8d8 e5f7,927,78,100,360,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/sSJGgc9p/black#42,,
05jh1,8/p6p/1rBp2pb/3P1p2/Rk2rP2/3KP3/7P/2R5 b - - 1 35,b4b3 c1b1,1263,76,100,181,endgame mate mateIn1 oneMove,https://lichess.org/nC9Iq28F/black#70,,
05jkW,2Q5/k3r1R1/1pp5/p2p4/P2P4/2P2P2/5K1q/6R1 w - - 22 55,f2f1 h2e2,986,76,100,444,endgame mate mateIn1 oneMove,https://lichess.org/fMg9lsVG#109,,
05jow,8/2R3p1/p2rpk1p/p2pq3/8/P4Q1P/1P4P1/7K b - - 1 31,e5f5 f3g3 f5f1 h1h2 g7g5 g3d6 f1f4 d6f4,2223,75,100,282,crushing endgame veryLong,https://lichess.org/HiQvIbGc/black#62,,
05kax,8/r4pk1/6pp/1p2N3/P2n4/1PR5/5PPP/5K2 w - - 0 35,a4b5 a7a1 c3c1 a1c1,606,81,100,215,endgame mate mateIn2 short,https://lichess.org/qXsmiUSJ#69,,
05kdD,8/P7/8/8/8/5p1k/1KP3pp/7Q w - - 0 55,h1g2 h3g2 a7a8q h2h1q,1300,75,100,143,advancedPawn crushing endgame hangingPiece promotion short,https://lichess.org/lXTr14GW#109,,
05kuI,4q3/6pk/8/1p1Qp2p/p4pbP/2P1B1P1/PP4P1/6K1 w - - 0 40,d5d3 e5e4 d3d2 f4e3,1525,75,100,830,crushing defensiveMove endgame short,https://lichess.org/GiRXdmEK#79,,
05lmw,r5k1/1R5p/5p2/8/1p6/P4N2/1Pn2PPP/6K1 w - - 0 24,a3b4 a8a1 f3e1 a1e1,556,91,100,195,backRankMate endgame mate mateIn2 short,https://lichess.org/gPnrsrbN#47,,
05mYC,r2q1r2/2pbn2k/p2p2B1/1p1P4/2P1pB1P/1P6/P4P2/b2Q1KR1 b - - 0 21,e7g6 d1h5 h7g8 h5g6 a1g7 g6g7,1428,75,100,887,deflection exposedKing long mate mateIn3 middlegame,https://lichess.org/7TYNM4Ax/black#42,,
05mYb,8/8/7p/6p1/4R3/5kP1/r6P/6K1 w - - 2 54,e4e6 a2a1 e6e1 a1e1,949,77,100,222,endgame mate mateIn2 rookEndgame short,https://lichess.org/GvhaEww0#107,,
05mei,2kr1b1r/pp3ppp/2n5/2p4q/Q5b1/2P2N1P/P3BPP1/R1B1K2R b KQ - 0 13,f8d6 a4g4 h5g4 h3g4,1617,75,100,422,advantage middlegame short,https://lichess.org/ujCvm6NO/black#26,Sicilian_Defense Sicilian_Defense_Alapin_Variation,
05nKL,4rk2/ppqn1Npp/2p5/5pB1/2BP2n1/2N2Q2/PPP3P1/R5bK w - - 8 17,h1g1 c7h2 g1f1 h2h1,965,77,100,248,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/gyVNNZvg#33,Blackmar-Diemer_Gambit_Accepted Blackmar-Diemer_Gambit_Accepted_Ziegler_Defense,
05nXK,8/8/8/2R5/k1p3r1/P1K5/8/8 b - - 5 57,a4a3 c5a5,961,78,100,186,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/4i784PUI/black#114,,
05o2X,r1b1k2r/ppppqppp/5n2/3P4/1bB5/3p1N2/PPPBQPPP/R3K2R w KQkq - 0 10,d2b4 e7e2,1129,76,100,398,master mate mateIn1 middlegame oneMove,https://lichess.org/6T8AUZEu#19,Four_Knights_Game Four_Knights_Game_Scotch_Variation,
05oox,6k1/5pp1/1BQ4p/P2p2q1/8/3b1P2/6PP/6K1 w - - 1 34,b6c7 g5e3 g1h1 e3e1,1072,76,100,391,backRankMate endgame mate mateIn2 short,https://lichess.org/wZjlhNKb#67,,
05pyS,r4rk1/pp3p2/4b1B1/2Ppn1NQ/8/2q5/P1P2PPP/R4RK1 b - - 0 17,e5g6 h5h7,898,76,100,248,mate mateIn1 middlegame oneMove,https://lichess.org/OLTUP9X5/black#34,Sicilian_Defense Sicilian_Defense_Marshall_Counterattack,
05q11,6k1/b4pp1/1qp4p/8/1PQ5/P5NP/5PP1/6K1 w - - 0 33,c4d3 b6f2 g1h2 f2g1,886,85,100,1323,endgame mate mateIn2 short,https://lichess.org/KJ09Twkn#65,,
05q6E,8/1p1R2k1/1p4p1/4r3/5bPK/1B6/P7/8 b - - 1 36,g7f6 d7f7,1171,77,100,119,endgame master mate mateIn1 oneMove,https://lichess.org/IFGloiwF/black#72,,
05qB7,2r1k3/b4p2/4p1p1/8/P2P4/8/6PP/1Bq1R2K w - - 0 43,e1c1 c8c1,462,88,100,220,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/FFwVWNhS#85,,
05qO6,3r3k/6p1/1p1N3p/3qPQ2/8/3n2PK/7P/5R2 b - - 1 47,d8g8 d6f7 d5f7 f5f7,923,78,100,536,crushing endgame short,https://lichess.org/wFUzgk8T/black#94,,
